package,count,last
git,8946,2026-06-13
gh,2209,2026-06-13
curl,1562,2026-06-13
binutils,651,2026-06-13
sqlite3,442,2026-06-13
jq,316,2026-06-13
1password-cli,226,2026-06-12
helm,98,2026-06-12
python3-pip,46,2026-06-11
python3-pytest,29,2026-06-08
wget,28,2026-06-10
patch,27,2026-06-07
unzip,26,2026-06-07
rclone,17,2026-06-09
adb,16,2026-01-16
tree,16,2026-06-07
google-cloud-cli,15,2026-06-06
zsh,15,2026-06-09
pipx,14,2026-06-10
mkdocs,12,2026-06-11
tailscale,10,2026-06-11
llvm,9,2026-06-11
sshpass,8,2026-05-09
skopeo,7,2026-06-12
ffmpeg,6,2026-06-12
scrcpy,6,2026-01-16
sops,3,2026-06-07
apache2-utils,2,2026-06-02
transmission-cli,2,2025-10-27
git-filter-repo,1,2026-04-21
openssh-server,1,2026-06-10
screen,1,2026-05-11
snapd,1,2025-06-02
tmux,1,2026-01-05
